Var1,Var2
1,11.9983222375208
2,11.996644687025
3,11.9949673485115
4,11.993290221979
5,11.9916133074264
6,11.9899366048527
7,11.9882601142565
8,11.9865838356369
9,11.9849077689925
10,11.9832319143223
11,11.9815562716252
12,11.9798808408999
13,11.9782056221453
14,11.9765306153603
15,11.9748558205437
16,11.9731812376943
17,11.9715068668111
18,11.9698327078928
19,11.9681587609383
20,11.9664850259464
21,11.964811502916
22,11.963138191846
23,11.9614650927352
24,11.9597922055824
25,11.9581195303864
26,11.9564470671462
27,11.9547748158606
28,11.9531027765284
29,11.9514309491485
30,11.9497593337197
31,11.9480879302409
32,11.9464167387109
33,11.9447457591285
34,11.9430749914927
35,11.9414044358022
36,11.9397340920559
37,11.9380639602527
38,11.9363940403914
39,11.9347243324708
40,11.9330548364899
41,11.9313855524473
42,11.9297164803421
43,11.928047620173
44,11.9263789719389
45,11.9247105356386
46,11.923042311271
47,11.9213742988349
48,11.9197064983292
49,11.9180389097528
50,11.9163715331044
51,11.9147043683829
52,11.9130374155872
53,11.9113706747161
54,11.9097041457685
55,11.9080378287431
56,11.906371723639
57,11.9047058304548
58,11.9030401491895
59,11.9013746798419
60,11.8997094224108
61,11.8980443768951
62,11.8963795432937
63,11.8947149216054
64,11.893050511829
65,11.8913863139633
66,11.8897223280074
67,11.8880585539599
68,11.8863949918197
69,11.8847316415857
70,11.8830685032567
71,11.8814055768316
72,11.8797428623092
73,11.8780803596884
74,11.876418068968
75,11.8747559901468
76,11.8730941232238
77,11.8714324681977
78,11.8697710250674
79,11.8681097938318
80,11.8664487744896
81,11.8647879670398
82,11.8631273714812
83,11.8614669878127
84,11.859806816033
85,11.8581468561411
86,11.8564871081357
87,11.8548275720158
88,11.8531682477802
89,11.8515091354277
90,11.8498502349571
91,11.8481915463674
92,11.8465330696574
93,11.8448748048258
94,11.8432167518717
95,11.8415589107937
96,11.8399012815908
97,11.8382438642618
98,11.8365866588056
99,11.8349296652209
100,11.8332728835067
101,11.8316163136619
102,11.8299599556851
103,11.8283038095754
104,11.8266478753314
105,11.8249921529522
106,11.8233366424365
107,11.8216813437832
108,11.8200262569911
109,11.8183713820591
110,11.816716718986
111,11.8150622677707
112,11.813408028412
113,11.8117540009088
114,11.8101001852599
115,11.8084465814642
116,11.8067931895204
117,11.8051400094276
118,11.8034870411844
119,11.8018342847898
120,11.8001817402426
121,11.7985294075416
122,11.7968772866857
123,11.7952253776738
124,11.7935736805046
125,11.7919221951771
126,11.7902709216901
127,11.7886198600424
128,11.7869690102329
129,11.7853183722605
130,11.7836679461239
131,11.782017731822
132,11.7803677293537
133,11.7787179387178
134,11.7770683599132
135,11.7754189929387
136,11.7737698377931
137,11.7721208944754
138,11.7704721629843
139,11.7688236433187
140,11.7671753354775
141,11.7655272394594
142,11.7638793552635
143,11.7622316828884
144,11.760584222333
145,11.7589369735963
146,11.7572899366769
147,11.7556431115739
148,11.753996498286
149,11.7523500968121
150,11.750703907151
151,11.7490579293016
152,11.7474121632626
153,11.7457666090331
154,11.7441212666118
155,11.7424761359975
156,11.7408312171892
157,11.7391865101856
158,11.7375420149856
159,11.7358977315881
160,11.7342536599919
161,11.7326098001958
162,11.7309661521988
163,11.7293227159995
164,11.727679491597
165,11.72603647899
166,11.7243936781774
167,11.722751089158
168,11.7211087119308
169,11.7194665464944
170,11.7178245928478
171,11.7161828509899
172,11.7145413209194
173,11.7129000026352
174,11.7112588961362
175,11.7096180014213
176,11.7079773184891
177,11.7063368473387
178,11.7046965879689
179,11.7030565403785
180,11.7014167045663
181,11.6997770805312
182,11.698137668272
183,11.6964984677877
184,11.694859479077
185,11.6932207021388
186,11.6915821369719
187,11.6899437835752
188,11.6883056419476
189,11.6866677120878
190,11.6850299939948
191,11.6833924876673
192,11.6817551931043
193,11.6801181103045
194,11.6784812392669
195,11.6768445799902
196,11.6752081324733
197,11.6735718967151
198,11.6719358727144
199,11.6703000604701
200,11.668664459981
201,11.6670290712459
202,11.6653938942637
203,11.6637589290332
204,11.6621241755534
205,11.660489633823
206,11.6588553038409
207,11.6572211856059
208,11.6555872791169
209,11.6539535843728
210,11.6523201013723
211,11.6506868301143
212,11.6490537705978
213,11.6474209228214
214,11.6457882867841
215,11.6441558624848
216,11.6425236499222
217,11.6408916490952
218,11.6392598600027
219,11.6376282826434
220,11.6359969170164
221,11.6343657631203
222,11.6327348209541
223,11.6311040905166
224,11.6294735718066
225,11.6278432648231
226,11.6262131695647
227,11.6245832860305
228,11.6229536142192
229,11.6213241541296
230,11.6196949057607
231,11.6180658691113
232,11.6164370441802
233,11.6148084309663
234,11.6131800294684
235,11.6115518396854
236,11.6099238616161
237,11.6082960952593
238,11.606668540614
239,11.6050411976789
240,11.6034140664529
241,11.6017871469349
242,11.6001604391237
243,11.5985339430181
244,11.5969076586171
245,11.5952815859193
246,11.5936557249238
247,11.5920300756293
248,11.5904046380347
249,11.5887794121388
250,11.5871543979405
251,11.5855295954387
252,11.5839050046321
253,11.5822806255196
254,11.5806564581001
255,11.5790325023725
256,11.5774087583355
257,11.575785225988
258,11.5741619053288
259,11.5725387963569
260,11.5709158990711
261,11.5692932134701
262,11.5676707395529
263,11.5660484773183
264,11.5644264267652
265,11.5628045878923
266,11.5611829606986
267,11.5595615451828
268,11.557940341344
269,11.5563193491808
270,11.5546985686921
271,11.5530779998768
272,11.5514576427337
273,11.5498374972617
274,11.5482175634597
275,11.5465978413264
276,11.5449783308607
277,11.5433590320615
278,11.5417399449276
279,11.5401210694579
280,11.5385024056511
281,11.5368839535063
