Creation Time,Travel Endtime,Search Distance,Total Distance,Car Failed
18714,19126,67,2474,false
21147,21399,9,1513,false
17983,18593,55,3666,false
19229,19639,55,2462,false
19743,20248,26,3035,false
19135,19839,12,4225,false
16704,17013,55,1860,false
19525,20279,12,4526,false
20644,20955,67,1872,false
22219,22428,55,1258,false
15818,15977,55,957,false
17445,18048,12,3623,false
20305,20568,77,1581,false
18653,19557,9,5426,false
21557,21816,55,1559,false
22147,22600,12,2720,false
20615,20977,67,2173,false
19972,20087,93,694,false
22383,22692,55,1860,false
19871,20022,9,911,false
21645,22198,12,3322,false
18377,19088,55,4268,false
21476,22093,93,3704,false
15186,15495,55,1860,false
21669,22224,26,3336,false
16675,17486,55,4870,false
15777,16337,55,3365,false
18923,19182,55,1559,false
15334,15944,55,3666,false
17400,17960,55,3365,false
20005,20257,9,1513,false
20537,20648,67,668,false
22044,22608,77,3387,false
19079,19338,55,1559,false
20586,20888,9,1814,false
20824,21076,9,1513,false
16086,16197,67,668,false
18668,19178,55,3064,false
20979,21288,55,1860,false
22248,22550,9,1814,false
19121,19724,9,3620,false
18894,19547,12,3924,false
19348,19750,9,2416,false
19513,20324,55,4870,false
22438,23050,67,3678,false
22947,23260,77,1882,false
20596,20951,26,2132,false
16364,16565,9,1212,false
16585,16887,9,1814,false
13496,14149,9,3921,false
19672,20435,67,4581,false
22921,23134,78,1281,false
18730,19240,55,3064,false
22132,22584,9,2717,false
22888,23248,55,2161,false
20943,21345,9,2416,false
16263,16823,55,3365,false
21344,21897,9,3319,false
19813,20268,26,2734,false
20377,21040,67,3979,false
19905,20016,67,668,false
20907,21618,55,4268,false
16429,16630,9,1212,false
20274,20836,67,3377,false
22691,22996,26,1831,false
20253,20713,55,2763,false
17422,17731,55,1860,false
22623,22782,55,957,false
20925,21179,26,1530,false
20787,21347,55,3365,false
22226,22788,67,3377,false
23011,23162,9,911,false
20028,20745,93,4306,false
16982,17645,67,3979,false
22418,22681,77,1581,false
19374,19927,12,3322,false
22431,23094,67,3979,false
21443,21946,12,3021,false
23268,23773,26,3035,false
19731,20343,67,3678,false
21732,22586,9,5125,false
18805,19466,55,3967,false
18879,19432,9,3319,false
23024,23228,26,1229,false
22411,22624,77,1280,false
21840,22149,55,1860,false
20711,20924,77,1280,false
19624,20037,77,2484,false
22677,23287,55,3666,false
18058,18661,9,3620,false
19859,20269,55,2462,false
21042,21652,55,3666,false
21259,21714,26,2734,false
23323,23584,67,1571,false
21130,21642,67,3076,false
23457,23867,55,2462,false
21614,21765,9,911,false
19636,20292,26,3938,false
24010,24119,55,656,false
18095,18497,9,2416,false
21622,21924,9,1814,false
21779,22243,77,2785,false
